rssi,signal,mac,location
36,-60,78:8a:20:80:45:b6,Kitchen
36,-60,78:8a:20:80:45:b6,Kitchen
36,-60,78:8a:20:80:45:b6,Kitchen
36,-60,78:8a:20:80:45:b6,Kitchen
36,-60,78:8a:20:80:45:b6,Kitchen
36,-60,78:8a:20:80:45:b6,Kitchen
36,-60,78:8a:20:80:45:b6,Kitchen
36,-60,78:8a:20:80:45:b6,Kitchen
36,-60,78:8a:20:80:45:b6,Kitchen
36,-60,78:8a:20:80:45:b6,Kitchen
36,-60,78:8a:20:80:45:b6,Kitchen
36,-60,78:8a:20:80:45:b6,Kitchen
36,-60,78:8a:20:80:45:b6,Kitchen
36,-60,78:8a:20:80:45:b6,Kitchen
36,-60,78:8a:20:80:45:b6,Kitchen
36,-60,78:8a:20:80:45:b6,Kitchen
36,-60,78:8a:20:80:45:b6,Kitchen
36,-60,78:8a:20:80:45:b6,Kitchen
36,-60,78:8a:20:80:45:b6,Kitchen
35,-61,78:8a:20:80:45:b6,Kitchen
36,-60,78:8a:20:80:45:b6,Kitchen
36,-60,78:8a:20:80:45:b6,Kitchen
36,-60,78:8a:20:80:45:b6,Kitchen
36,-60,78:8a:20:80:45:b6,Kitchen
36,-60,78:8a:20:80:45:b6,Kitchen
36,-60,78:8a:20:80:45:b6,Kitchen
36,-60,78:8a:20:80:45:b6,Kitchen
36,-60,78:8a:20:80:45:b6,Kitchen
36,-60,78:8a:20:80:45:b6,Kitchen
36,-60,78:8a:20:80:45:b6,Kitchen
36,-60,78:8a:20:80:45:b6,Kitchen
36,-60,78:8a:20:80:45:b6,Kitchen
36,-60,78:8a:20:80:45:b6,Kitchen
36,-60,78:8a:20:80:45:b6,Kitchen
36,-60,78:8a:20:80:45:b6,Kitchen
36,-60,78:8a:20:80:45:b6,Kitchen
36,-60,78:8a:20:80:45:b6,Kitchen
36,-60,78:8a:20:80:45:b6,Kitchen
36,-60,78:8a:20:80:45:b6,Kitchen
36,-60,78:8a:20:80:45:b6,Kitchen
36,-60,78:8a:20:80:45:b6,Kitchen
36,-60,78:8a:20:80:45:b6,Kitchen
36,-60,78:8a:20:80:45:b6,Kitchen
36,-60,78:8a:20:80:45:b6,Kitchen
36,-60,78:8a:20:80:45:b6,Kitchen
43,-53,78:8a:20:80:45:b6,Living
43,-53,78:8a:20:80:45:b6,Living
43,-53,78:8a:20:80:45:b6,Living
43,-53,78:8a:20:80:45:b6,Living
43,-53,78:8a:20:80:45:b6,Living
44,-52,78:8a:20:80:45:b6,Living
43,-53,78:8a:20:80:45:b6,Living
