rssi,signal,mac,location
43,-53,fc:ec:da:37:79:6a,Bedroom
43,-53,fc:ec:da:37:79:6a,Bedroom
42,-54,fc:ec:da:37:79:6a,Bedroom
40,-56,fc:ec:da:37:79:6a,Bedroom
40,-56,fc:ec:da:37:79:6a,Bedroom
40,-56,fc:ec:da:37:79:6a,Bedroom
40,-56,fc:ec:da:37:79:6a,Bedroom
40,-56,fc:ec:da:37:79:6a,Bedroom
40,-56,fc:ec:da:37:79:6a,Bedroom
40,-56,fc:ec:da:37:79:6a,Bedroom
40,-56,fc:ec:da:37:79:6a,Bedroom
43,-53,fc:ec:da:37:79:6a,Bedroom
43,-53,fc:ec:da:37:79:6a,Bedroom
43,-53,fc:ec:da:37:79:6a,Bedroom
43,-53,fc:ec:da:37:79:6a,Bedroom
41,-55,fc:ec:da:37:79:6a,Bedroom
41,-55,fc:ec:da:37:79:6a,Bedroom
41,-55,fc:ec:da:37:79:6a,Bedroom
41,-55,fc:ec:da:37:79:6a,Bedroom
41,-55,fc:ec:da:37:79:6a,Bedroom
40,-56,fc:ec:da:37:79:6a,Bedroom
40,-56,fc:ec:da:37:79:6a,Bedroom
40,-56,fc:ec:da:37:79:6a,Bedroom
40,-56,fc:ec:da:37:79:6a,Bedroom
40,-56,fc:ec:da:37:79:6a,Bedroom
40,-5,fc:ec:da:37:79:6a,Bedroom
39,-57,fc:ec:da:37:79:6a,Bedroom
40,-56,fc:ec:da:37:79:6a,Bedroom
40,-56,fc:ec:da:37:79:6a,Bedroom
40,-56,fc:ec:da:37:79:6a,Bedroom
40,-56,fc:ec:da:37:79:6a,Bedroom
40,-56,fc:ec:da:37:79:6a,Bedroom
40,-56,fc:ec:da:37:79:6a,Bedroom
40,-56,fc:ec:da:37:79:6a,Bedroom
40,-56,fc:ec:da:37:79:6a,Bedroom
39,-57,fc:ec:da:37:79:6a,Bedroom
40,-56,fc:ec:da:37:79:6a,Bedroom
40,-56,fc:ec:da:37:79:6a,Bedroom
40,-56,fc:ec:da:37:79:6a,Bedroom
40,-56,fc:ec:da:37:79:6a,Bedroom
40,-56,fc:ec:da:37:79:6a,Bedroom
40,-56,fc:ec:da:37:79:6a,Bedroom
42,-54,fc:ec:da:37:79:6a,Bedroom
40,-56,fc:ec:da:37:79:6a,Bedroom
40,-56,fc:ec:da:37:79:6a,Bedroom
40,-56,fc:ec:da:37:79:6a,Bedroom
40,-56,fc:ec:da:37:79:6a,Bedroom
40,-56,fc:ec:da:37:79:6a,Bedroom
40,-56,fc:ec:da:37:79:6a,Bedroom
40,-56,fc:ec:da:37:79:6a,Bedroom
40,-56,fc:ec:da:37:79:6a,Bedroom
42,-54,fc:ec:da:37:79:6a,Bedroom
42,-54,fc:ec:da:37:79:6a,Bedroom
42,-54,fc:ec:da:37:79:6a,Bedroom
42,-54,fc:ec:da:37:79:6a,Bedroom
42,-54,fc:ec:da:37:79:6a,Bedroom
42,-54,fc:ec:da:37:79:6a,Bedroom
42,-54,fc:ec:da:37:79:6a,Bedroom
42,-54,fc:ec:da:37:79:6a,Bedroom
